,Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Stage,Series
0,MAGNUM,Killjoy,"0.98
0.98
0.98","225
237
206","15
10
5","

14
9
5

","1
1
0","+1
+1
0","153
164
134","24%
28%
19%","5
4
1","3
1
2","+2
+3
-1",Apeks,Haven,1,Playoffs,Grand Final
1,Enzo,Sova,"0.94
0.75
1.26","191
132
293","10
4
6","

14
8
6

","10
5
5","-4
-4
0","123
100
163","18%
21%
15%","2
0
2","2
2
0","0
-2
+2",Apeks,Haven,1,Playoffs,Grand Final
2,ShadoW,Breach,"0.85
0.93
0.73","165
174
152","12
9
3","

14
8
6

","11
9
2","-2
+1
-3","89
92
84","23%
35%
8%","1
1
0","1
1
0","0
0
0",Apeks,Haven,1,Playoffs,Grand Final
3,Keiko,Jett,"0.84
1.13
0.35","214
278
107","14
12
2","

16
9
7

","3
2
1","-2
+3
-5","151
191
81","26%
27%
22%","2
1
1","0
0
0","+2
+1
+1",Apeks,Haven,1,Playoffs,Grand Final
4,Mistic,Omen,"0.70
0.53
0.98","130
117
155","8
4
4","

15
10
5

","4
1
3","-7
-6
-1","93
79
117","24%
19%
33%","1
1
0","2
1
1","-1
0
-1",Apeks,Haven,1,Playoffs,Grand Final
5,logaN,Killjoy,"1.50
1.50
1.50","265
302
244","20
9
11","

9
3
6

","3
2
1","+11
+6
+5","168
186
157","20%
29%
15%","1
0
1","1
0
1","0
0
0",Gentle Mates,Haven,1,Playoffs,Grand Final
6,Wailers,Omen,"1.20
1.27
1.16","194
228
176","13
5
8","

11
5
6

","12
6
6","+2
0
+2","133
154
121","17%
15%
19%","2
1
1","3
0
3","-1
+1
-2",Gentle Mates,Haven,1,Playoffs,Grand Final
7,nataNk,Breach,"1.15
0.88
1.31","220
206
229","15
5
10","

13
5
8

","9
4
5","+2
0
+2","142
125
151","25%
29%
24%","2
0
2","5
2
3","-3
-2
-1",Gentle Mates,Haven,1,Playoffs,Grand Final
8,TakaS,Jett,"1.09
1.58
0.79","205
273
166","15
8
7","

14
3
11

","3
1
2","+1
+5
-4","136
166
119","22%
24%
20%","2
2
0","1
1
0","+1
+1
0",Gentle Mates,Haven,1,Playoffs,Grand Final
9,beyAz,Sova,"0.85
0.64
0.97","164
102
201","10
2
8","

12
5
7

","6
3
3","-2
-3
+1","108
75
127","19%
29%
16%","1
0
1","1
1
0","0
-1
+1",Gentle Mates,Haven,1,Playoffs,Grand Final
10,Enzo,Sova,"1.29
1.17
1.40","274
267
281","23
10
13","

16
9
7

","7
4
3","+7
+1
+6","177
181
173","16%
21%
12%","2
0
2","0
0
0","+2
0
+2",Apeks,Ascent,2,Playoffs,Grand Final
11,Mistic,Omen,"0.99
1.35
0.67","185
254
123","15
10
5","

18
8
10

","12
6
6","-3
+2
-5","124
151
100","38%
35%
44%","2
1
1","1
1
0","+1
0
+1",Apeks,Ascent,2,Playoffs,Grand Final
12,ShadoW,Kayo,"0.82
0.90
0.74","184
198
172","15
9
6","

19
9
10

","7
3
4","-4
0
-4","127
132
123","26%
29%
23%","2
0
2","2
1
1","0
-1
+1",Apeks,Ascent,2,Playoffs,Grand Final
13,Keiko,Jett,"0.78
0.80
0.76","176
182
172","14
7
7","

19
9
10

","8
5
3","-5
-2
-3","127
128
126","41%
40%
41%","4
2
2","5
3
2","-1
-1
0",Apeks,Ascent,2,Playoffs,Grand Final
