Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Stage,Series,winner,rounds,Id
cNed,Yoru,"1.10
1.29
0.91","250
254
246","21
12
9","

17
7
10

","9
4
5","+4
+5
-1","158
171
144","38%
35%
42%","5
2
3","4
1
3","+1
+1
0",FUT Esports,Lotus,1,Group Stage,Opening (A),Team Heretics,"1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0",1
AtaKaptan,Breach,"1.06
1.30
0.83","175
211
141","13
8
5","

16
8
8

","17
7
10","-3
0
-3","112
135
90","24%
27%
20%","1
1
0","2
2
0","-1
-1
0",FUT Esports,Lotus,1,Group Stage,Opening (A),Team Heretics,"1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0",1
qRaxs,Gekko,"1.06
1.21
0.91","225
215
235","20
10
10","

17
7
10

","9
4
5","+3
+3
0","139
134
143","28%
30%
27%","1
1
0","2
1
1","-1
0
-1",FUT Esports,Lotus,1,Group Stage,Opening (A),Team Heretics,"1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0",1
MrFaliN,Astra,"0.92
0.71
1.14","184
130
238","15
5
10","

18
9
9

","11
4
7","-3
-4
+1","113
78
148","21%
15%
23%","0
0
0","3
2
1","-3
-2
-1",FUT Esports,Lotus,1,Group Stage,Opening (A),Team Heretics,"1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0",1
yetujey,Killjoy,"0.80
0.79
0.80","183
164
202","12
6
6","

17
10
7

","6
3
3","-5
-4
-1","121
107
135","13%
16%
11%","4
2
2","2
0
2","+2
+2
0",FUT Esports,Lotus,1,Group Stage,Opening (A),Team Heretics,"1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0",1
Boo,Omen,"1.38
1.25
1.50","297
279
316","26
12
14","

17
8
9

","10
5
5","+9
+4
+5","203
189
217","35%
28%
41%","1
1
0","1
1
0","0
0
0",Team Heretics,Lotus,1,Group Stage,Opening (A),Team Heretics,"0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1",1
MiniBoo,Neon,"1.30
1.42
1.18","269
302
237","22
13
9","

17
8
9

","5
2
3","+5
+5
0","173
194
152","35%
42%
27%","7
4
3","5
2
3","+2
+2
0",Team Heretics,Lotus,1,Group Stage,Opening (A),Team Heretics,"0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1",1
benjyfishy,Killjoy,"0.88
1.03
0.73","181
244
119","16
11
5","

15
8
7

","4
1
3","+1
+3
-2","129
173
86","27%
33%
20%","2
1
1","4
1
3","-2
0
-2",Team Heretics,Lotus,1,Group Stage,Opening (A),Team Heretics,"0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1",1
RieNs,Gekko,"0.84
0.79
0.90","143
118
169","11
4
7","

15
7
8

","10
7
3","-4
-3
-1","104
88
121","38%
44%
33%","2
0
2","0
0
0","+2
0
+2",Team Heretics,Lotus,1,Group Stage,Opening (A),Team Heretics,"0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1",1
paTiTek,Viper,"0.81
1.01
0.60","114
158
71","10
8
2","

17
9
8

","6
4
2","-7
-1
-6","74
95
53","19%
17%
25%","1
1
0","1
1
0","0
0
0",Team Heretics,Lotus,1,Group Stage,Opening (A),Team Heretics,"0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1",1
AtaKaptan,Omen,"1.32
1.08
1.54","217
165
265","19
7
12","

15
7
8

","16
8
8","+4
0
+4","161
122
196","35%
33%
36%","0
0
0","2
1
1","-2
-1
-1",FUT Esports,Bind,2,Group Stage,Opening (A),Team Heretics,"0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0",1
MrFaliN,Gekko,"1.04
1.24
0.85","221
303
148","18
12
6","

16
8
8

","3
2
1","+2
+4
-2","154
201
111","25%
29%
19%","6
4
2","1
0
1","+5
+4
+1",FUT Esports,Bind,2,Group Stage,Opening (A),Team Heretics,"0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0",1
yetujey,Viper,"0.97
1.20
0.77","218
267
174","18
11
7","

17
7
10

","5
3
2","+1
+4
-3","155
171
140","25%
20%
37%","0
0
0","3
2
1","-3
-2
-1",FUT Esports,Bind,2,Group Stage,Opening (A),Team Heretics,"0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0",1
cNed,Neon,"0.91
0.96
0.87","250
249
252","21
10
11","

19
9
10

","5
5
0","+2
+1
+1","160
169
151","24%
24%
23%","3
0
3","5
4
1","-2
-4
+2",FUT Esports,Bind,2,Group Stage,Opening (A),Team Heretics,"0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0",1
qRaxs,Kayo,"0.69
0.55
0.83","127
98
154","7
2
5","

18
9
9

","18
11
7","-11
-7
-4","92
76
106","13%
11%
14%","2
0
2","1
0
1","+1
0
+1",FUT Esports,Bind,2,Group Stage,Opening (A),Team Heretics,"0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0",1
Boo,Astra,"1.52
1.72
1.30","299
347
248","26
16
10","

12
5
7

","7
1
6","+14
+11
+3","203
246
157","45%
55%
33%","4
1
3","2
2
0","+2
-1
+3",Team Heretics,Bind,2,Group Stage,Opening (A),Team Heretics,"1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1",1
MiniBoo,Yoru,"1.34
0.53
2.22","265
119
426","21
4
17","

17
11
6

","6
4
2","+4
-7
+11","195
93
306","33%
17%
40%","4
2
2","5
4
1","-1
-2
+1",Team Heretics,Bind,2,Group Stage,Opening (A),Team Heretics,"1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1",1
benjyfishy,Viper,"0.97
1.26
0.67","195
227
161","16
10
6","

19
9
10

","5
5
0","-3
+1
-4","121
150
89","29%
30%
26%","3
1
2","1
0
1","+2
+1
+1",Team Heretics,Bind,2,Group Stage,Opening (A),Team Heretics,"1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1",1
paTiTek,Kayo,"0.89
1.06
0.71","163
218
105","12
10
2","

16
7
9

","13
8
5","-4
+3
-7","102
128
74","19%
24%
11%","1
1
0","2
1
1","-1
0
-1",Team Heretics,Bind,2,Group Stage,Opening (A),Team Heretics,"1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1",1
RieNs,Sova,"0.60
0.72
0.47","111
132
89","10
6
4","

19
9
10

","3
2
1","-9
-3
-6","78
91
63","35%
56%
24%","0
0
0","1
0
1","-1
0
-1",Team Heretics,Bind,2,Group Stage,Opening (A),Team Heretics,"1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1",1
Cloud,Breach,"1.12
0.96
1.27","251
235
268","21
10
11","

20
10
10

","13
7
6","+1
0
+1","152
136
167","37%
39%
36%","1
0
1","2
1
1","-1
-1
0",GIANTX,Split,1,Group Stage,Opening (A),Karmine Corp,"1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0",2
Fit1nho,Raze,"1.01
1.40
0.62","240
374
106","21
16
5","

17
9
8

","2
2
0","+4
+7
-3","156
239
73","28%
33%
18%","2
2
0","1
1
0","+1
+1
0",GIANTX,Split,1,Group Stage,Opening (A),Karmine Corp,"1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0",2
Redgar,Omen,"0.97
1.14
0.80","162
233
91","14
11
3","

12
6
6

","6
4
2","+2
+5
-3","101
140
63","26%
28%
21%","3
1
2","3
0
3","0
+1
-1",GIANTX,Split,1,Group Stage,Opening (A),Karmine Corp,"1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0",2
nukkye,Cypher,"0.93
0.52
1.34","174
73
275","14
3
11","

18
9
9

","9
3
6","-4
-6
+2","117
43
192","33%
75%
28%","3
1
2","4
3
1","-1
-2
+1",GIANTX,Split,1,Group Stage,Opening (A),Karmine Corp,"1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0",2
hoody,Skye,"0.84
0.91
0.77","144
157
131","11
6
5","

16
8
8

","9
5
4","-5
-2
-3","98
113
83","21%
17%
26%","1
0
1","4
3
1","-3
-3
0",GIANTX,Split,1,Group Stage,Opening (A),Karmine Corp,"1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0",2
N4RRATE,Raze,"1.29
1.13
1.45","295
275
316","23
11
12","

18
9
9

","4
3
1","+5
+2
+3","179
167
192","20%
28%
14%","3
2
1","3
3
0","0
-1
+1",Karmine Corp,Split,1,Group Stage,Opening (A),Karmine Corp,"0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1",2
MAGNUM,Fade,"1.13
1.41
0.85","186
217
156","18
10
8","

14
6
8

","5
3
2","+4
+4
0","123
147
98","24%
28%
18%","3
2
1","2
0
2","+1
+2
-1",Karmine Corp,Split,1,Group Stage,Opening (A),Karmine Corp,"0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1",2
marteen,Yoru,"0.98
0.78
1.18","210
167
255","16
6
10","

17
8
9

","6
5
1","-1
-2
+1","138
115
160","29%
23%
35%","3
0
3","3
2
1","0
-2
+2",Karmine Corp,Split,1,Group Stage,Opening (A),Karmine Corp,"0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1",2
