Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Unique Enum,Stage,Series,winner,rounds,Id
Sayaplayer,Jett,"1.48
1.71
1.25","284
368
201","36
23
13","

21
11
10

","1
0
1","+15
+12
+3","191
240
141","36%
41%
30%","8
3
5","4
2
2","+4
+1
+3",T1,Breeze,1,2967351,Group Stage,Opening (A),T1,"0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1",1
xccurate,Harbor,"1.22
0.74
1.71","254
149
360","29
7
22","

24
15
9

","7
4
3","+5
-8
+13","169
113
225","29%
24%
32%","1
0
1","2
1
1","-1
-1
0",T1,Breeze,1,2967351,Group Stage,Opening (A),T1,"0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1",1
Carpe,Sova,"1.12
0.65
1.58","203
126
280","23
6
17","

25
16
9

","11
6
5","-2
-10
+8","131
94
168","28%
19%
37%","3
2
1","3
2
1","0
0
0",T1,Breeze,1,2967351,Group Stage,Opening (A),T1,"0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1",1
iZu,Yoru,"1.01
1.21
0.82","194
255
135","22
15
7","

24
13
11

","9
5
4","-2
+2
-4","136
181
91","26%
25%
27%","3
2
1","8
4
4","-5
-2
-3",T1,Breeze,1,2967351,Group Stage,Opening (A),T1,"0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1",1
Rossy,Viper,"0.82
0.72
0.93","138
115
162","16
7
9","

22
12
10

","8
6
2","-6
-5
-1","99
75
122","27%
24%
30%","0
0
0","2
1
1","-2
-1
-1",T1,Breeze,1,2967351,Group Stage,Opening (A),T1,"0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1",1
sScary,Viper,"1.14
0.86
1.41","215
185
247","28
13
15","

21
13
8

","10
6
4","+7
0
+7","152
122
181","27%
24%
29%","3
2
1","2
1
1","+1
+1
0",BLEED,Breeze,1,2967351,Group Stage,Opening (A),T1,"1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0",1
Deryeon,Harbor,"0.90
0.91
0.89","245
227
264","29
13
16","

28
14
14

","6
3
3","+1
-1
+2","154
150
158","27%
29%
27%","6
3
3","1
0
1","+5
+3
+2",BLEED,Breeze,1,2967351,Group Stage,Opening (A),T1,"1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0",1
yay,Neon,"0.88
0.89
0.87","213
223
205","27
14
13","

26
14
12

","6
4
2","+1
0
+1","130
131
129","26%
36%
13%","6
3
3","7
5
2","-1
-2
+1",BLEED,Breeze,1,2967351,Group Stage,Opening (A),T1,"1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0",1
Egoist,Skye,"0.64
0.39
0.90","140
122
159","17
7
10","

26
15
11

","9
6
3","-9
-8
-1","90
77
104","27%
32%
24%","2
1
1","2
0
2","0
+1
-1",BLEED,Breeze,1,2967351,Group Stage,Opening (A),T1,"1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0",1
crazyguy,Sova,"0.64
0.41
0.88","150
114
187","15
6
9","

25
13
12

","9
4
5","-10
-7
-3","102
77
127","26%
29%
24%","2
0
2","3
2
1","-1
-2
+1",BLEED,Breeze,1,2967351,Group Stage,Opening (A),T1,"1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0",1
