Stage,Series,Team Name,Bans,Picks,Decider
Group Stage,Opening (A),BLD,"['Ascent', 'Sunset']",['Breeze'],['Split']
Group Stage,Opening (A),T1,"['Icebox', 'Bind']",['Lotus'],['Split']
Group Stage,Opening (C),RRQ,"['Ascent', 'Lotus']",['Icebox'],['Sunset']
Group Stage,Opening (C),GEN,"['Bind', 'Breeze']",['Split'],['Sunset']
Group Stage,Opening (A),GE,"['Lotus', 'Ascent']",['Bind'],['Sunset']
Group Stage,Opening (A),ZETA,"['Breeze', 'Split']",['Icebox'],['Sunset']
Group Stage,Opening (B),TLN,"['Icebox', 'Bind']",['Breeze'],['Sunset']
Group Stage,Opening (B),TS,"['Split', 'Lotus']",['Ascent'],['Sunset']
Group Stage,Opening (B),DFM,"['Icebox', 'Split']",['Lotus'],['Bind']
Group Stage,Opening (B),DRX,"['Sunset', 'Ascent']",['Breeze'],['Bind']
Group Stage,Winner's (C),GEN,"['Split', 'Bind']",['Breeze'],['Sunset']
Group Stage,Winner's (C),PRX,"['Icebox', 'Ascent']",['Lotus'],['Sunset']
Group Stage,Elimination (A),GE,"['Lotus', 'Breeze']",['Sunset'],['Split']
Group Stage,Elimination (A),BLD,"['Ascent', 'Bind']",['Icebox'],['Split']
Group Stage,Winner's (A),ZETA,"['Breeze', 'Split']",['Ascent'],['Sunset']
Group Stage,Winner's (A),T1,"['Icebox', 'Bind']",['Lotus'],['Sunset']
Group Stage,Elimination (B),DFM,"['Icebox', 'Sunset']",['Lotus'],['Ascent']
Group Stage,Elimination (B),TS,"['Split', 'Bind']",['Breeze'],['Ascent']
Group Stage,Winner's (B),DRX,"['Lotus', 'Sunset']",['Split'],['Breeze']
Group Stage,Winner's (B),TLN,"['Bind', 'Icebox']",['Ascent'],['Breeze']
Group Stage,Decider (C),RRQ,"['Ascent', 'Sunset']",['Lotus'],['Icebox']
Group Stage,Decider (C),GEN,"['Bind', 'Split']",['Breeze'],['Icebox']
Group Stage,Decider (B),TS,"['Split', 'Bind']",['Breeze'],['Lotus']
Group Stage,Decider (B),TLN,"['Icebox', 'Sunset']",['Ascent'],['Lotus']
Group Stage,Decider (A),GE,"['Icebox', 'Ascent']",['Bind'],['Sunset']
Group Stage,Decider (A),ZETA,"['Breeze', 'Split']",['Lotus'],['Sunset']
Play-Ins,Play-ins,TS,"['Split', 'Bind']",['Breeze'],['Icebox']
Play-Ins,Play-ins,GEN,"['Ascent', 'Sunset']",['Lotus'],['Icebox']
Play-Ins,Play-ins,TS,"['Split', 'Bind']",['Icebox'],['Lotus']
Play-Ins,Play-ins,ZETA,"['Breeze', 'Sunset']",['Ascent'],['Lotus']
Play-Ins,Play-ins,GEN,"['Bind', 'Sunset']",['Icebox'],['Lotus']
Play-Ins,Play-ins,ZETA,"['Breeze', 'Split']",['Ascent'],['Lotus']
Playoffs,Semifinals,PRX,"['Breeze', 'Bind']",['Split'],['Sunset']
Playoffs,Semifinals,T1,"['Icebox', 'Lotus']",['Ascent'],['Sunset']
Playoffs,Semifinals,DRX,"['Icebox', 'Split']",['Bind'],['Ascent']
Playoffs,Semifinals,GEN,"['Breeze', 'Sunset']",['Lotus'],['Ascent']
Playoffs,Grand Final,GEN,['Sunset'],"['Ascent', 'Lotus']",['Breeze']
Playoffs,Grand Final,PRX,['Icebox'],"['Split', 'Bind']",['Breeze']
