Player Name,Map Name,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,Team Name,Map #,Stage,Series
cNed,Lotus,"[4, 6, 10, 12, 13, 14, 15, 17]",[],[],[],[],[],[],[],[],62,0,1,FUT,1,Group Stage,Opening (A)
qRaxs,Lotus,"[1, 2, 4, 13]","[12, 19]",[],[],[],[4],[],[],[],57,5,0,FUT,1,Group Stage,Opening (A)
AtaKaptan,Lotus,"[3, 22]",[],[],[9],"[9, 22]",[],[],[],[],48,1,1,FUT,1,Group Stage,Opening (A)
MrFaliN,Lotus,"[1, 2, 22, 23]",[24],[],[],[],[],[],[],[],40,2,0,FUT,1,Group Stage,Opening (A)
yetujey,Lotus,[3],[],[],[],[],[],[],[16],[],43,2,2,FUT,1,Group Stage,Opening (A)
paTiTek,Lotus,[],[],[],[],[24],[],[],[],[],27,4,2,TH,1,Group Stage,Opening (A)
Boo,Lotus,"[5, 8, 9, 11, 16, 24]","[14, 15]",[10],[],[],[],[],[],[],81,2,0,TH,1,Group Stage,Opening (A)
RieNs,Lotus,"[8, 15]",[],[],[],[],[],[],[],[],45,5,0,TH,1,Group Stage,Opening (A)
MiniBoo,Lotus,"[5, 23]","[7, 18]",[17],[],[],[],[17],[],[],65,0,0,TH,1,Group Stage,Opening (A)
benjyfishy,Lotus,[],"[21, 23]",[],[],[20],[20],[],[],[],49,1,1,TH,1,Group Stage,Opening (A)
cNed,Bind,"[5, 6, 10, 17, 20, 22]",[19],[],[],[],[],[],[],[],68,1,0,FUT,2,Group Stage,Opening (A)
qRaxs,Bind,[3],[],[],[],[],[],[],[],[],35,0,1,FUT,2,Group Stage,Opening (A)
AtaKaptan,Bind,"[3, 4, 7, 9, 12]",[],[],[],[],[],[],[],[],68,0,0,FUT,2,Group Stage,Opening (A)
MrFaliN,Bind,"[13, 18]","[9, 21]",[],[],[],[],[],[],[],63,8,1,FUT,2,Group Stage,Opening (A)
yetujey,Bind,[11],[16],[],[],[],[],[],[],[],68,2,0,FUT,2,Group Stage,Opening (A)
paTiTek,Bind,[1],[4],[],[],[4],[],[],[],[],38,5,0,TH,2,Group Stage,Opening (A)
Boo,Bind,"[3, 5, 8, 10, 12, 15, 20, 23]",[],[2],[],[],[],[],[],[],85,1,2,TH,2,Group Stage,Opening (A)
RieNs,Bind,[7],[],[],[],[],[],[],[],[],26,1,1,TH,2,Group Stage,Opening (A)
MiniBoo,Bind,"[15, 18, 20, 22]",[],[13],[],[22],[],[],[],[],73,0,2,TH,2,Group Stage,Opening (A)
benjyfishy,Bind,"[5, 14, 22]",[7],[],[],[],[],[],[],[],47,1,1,TH,2,Group Stage,Opening (A)
Fit1nho,Split,"[2, 6, 12, 13, 15]",[1],[5],[],[],[],[],[],[],60,0,0,GX,1,Group Stage,Opening (A)
Redgar,Split,"[4, 9]",[3],[],[],[20],[3],[],[],[],48,2,1,GX,1,Group Stage,Opening (A)
hoody,Split,"[9, 19]",[],[],[],[],[],[],[],[],42,1,1,GX,1,Group Stage,Opening (A)
