Id,Unique Enum,Team Name,Map #,Map Name,Stage,Series,Pistol_Won,Eco,Eco_Won,$,$_Won,$$,$$_Won,$$$,$$$_Won,Bank,Buys
295605,2956051,NRG,1,Breeze,Group Stage,Opening (A),0,4,0,0,0,4,4,15,9,"[100, 9300, 100, 9600, 400, 11300, 18700, 22900, 32500, 24700, 27800, 26200, 200, 10000, 1100, 9100, 13600, 24000, 14300, 5700, 2600, 3700, 9900]","[3600, 900, 21500, 21900, 20000, 19100, 24300, 24400, 25900, 25300, 25400, 25600, 3700, 2600, 22500, 19000, 24100, 24100, 22100, 21500, 20500, 21600, 12700]"
295605,2956051,FUR,1,Breeze,Group Stage,Opening (A),2,2,2,2,0,9,5,10,3,"[300, 2800, 14000, 3400, 6900, 8400, 1400, 8600, 1300, 7400, 2300, 1100, 100, 2800, 12600, 1300, 8100, 1200, 2600, 7000, 7500, 700, 7600]","[3700, 16200, 18400, 22500, 22800, 10200, 20900, 7900, 22500, 12100, 21500, 16500, 3700, 13700, 17900, 21500, 6600, 22700, 19500, 22300, 24200, 17600, 25000]"
295605,2956052,NRG,2,Ascent,Group Stage,Opening (A),1,3,1,2,1,2,2,14,9,"[300, 2100, 10100, 1100, 6300, 600, 9000, 14400, 3500, 6900, 10900, 10300, 200, 9600, 500, 4200, 12100, 9800, 14000, 11900, 18600]","[3900, 17600, 21300, 20700, 8500, 22900, 8600, 23000, 22800, 11500, 25400, 27800, 3600, 1600, 22000, 20300, 21900, 26100, 26200, 25100, 25400]"
295605,2956052,FUR,2,Ascent,Group Stage,Opening (A),1,3,1,2,0,3,2,13,5,"[100, 7900, 400, 11600, 8300, 19700, 20400, 16300, 14300, 20000, 9100, 5500, 200, 4500, 12100, 1100, 7500, 2500, 9300, 3600, 900]","[3700, 2300, 19600, 21500, 22500, 23800, 25200, 24900, 25200, 24900, 24500, 25200, 4000, 14300, 21200, 21800, 8300, 22800, 8900, 23800, 18500]"
295606,2956061,C9,1,Bind,Group Stage,Opening (A),2,2,2,2,0,8,3,12,8,"[400, 700, 6600, 700, 6800, 11300, 5900, 5300, 2300, 5400, 6500, 500, 300, 1500, 10700, 900, 5700, 9600, 6200, 15700, 22800, 24800, 19800, 17600]","[4000, 18300, 7800, 19600, 22700, 23300, 19600, 14000, 20800, 20400, 10300, 19100, 4100, 19100, 14200, 20400, 9000, 20800, 21100, 24300, 23700, 23100, 25800, 26000]"
295606,2956061,MIBR,1,Bind,Group Stage,Opening (A),0,4,1,1,0,3,0,16,10,"[200, 9600, 4700, 4700, 6900, 1800, 9300, 19500, 13500, 3400, 5400, 9000, 100, 10200, 800, 6600, 9800, 3900, 2100, 7200, 2100, 9500, 1000, 1600]","[4200, 1100, 23100, 22500, 12100, 20300, 23400, 23700, 23700, 23900, 22800, 24000, 4100, 1400, 22600, 21000, 23200, 23000, 22100, 13800, 20800, 8400, 24400, 16700]"
295606,2956062,C9,2,Split,Group Stage,Opening (A),0,3,0,2,0,6,2,10,6,"[200, 8500, 800, 2100, 7500, 4700, 12100, 13900, 18000, 26200, 20300, 19300, 100, 500, 5600, 400, 11600, 7600, 3200, 800, 2800]","[3300, 2600, 20400, 18700, 9800, 19400, 20700, 20900, 23000, 23000, 23000, 24900, 4300, 11400, 8600, 20600, 21000, 21000, 19500, 18900, 18900]"
295606,2956062,MIBR,2,Split,Group Stage,Opening (A),2,2,2,0,0,8,4,11,7,"[100, 3300, 14500, 22400, 20800, 24800, 12400, 5300, 3900, 1200, 7000, 1800, 200, 300, 4700, 11800, 3700, 13400, 16400, 15200, 3700]","[4200, 15700, 19100, 23700, 25800, 26100, 22600, 22600, 17100, 19500, 11800, 21500, 4300, 18000, 18400, 19700, 21500, 24600, 25000, 25000, 23100]"
295606,2956063,C9,3,Lotus,Group Stage,Opening (A),1,2,1,1,0,11,7,9,5,"[400, 200, 5900, 1800, 8100, 7900, 6100, 3500, 5400, 10000, 17000, 9500, 400, 1800, 9000, 2000, 2800, 2800, 11700, 4800, 5100, 9200, 15000]","[3800, 11900, 6500, 19600, 20800, 11800, 22500, 16100, 13100, 21700, 24200, 23600, 3600, 16300, 15400, 17000, 18000, 20000, 22900, 18700, 16000, 21800, 23100]"
295606,2956063,MIBR,3,Lotus,Group Stage,Opening (A),1,3,1,1,1,5,2,14,6,"[200, 200, 9600, 17500, 6400, 8900, 10900, 9400, 8100, 7600, 4800, 6000, 0, 9700, 400, 7800, 1400, 6900, 4600, 4800, 11000, 2100, 700]","[4100, 17200, 19500, 22400, 21800, 22500, 9400, 24600, 24400, 24800, 24300, 24800, 4400, 2700, 22700, 22400, 17800, 10900, 20100, 20100, 23100, 21300, 15200]"
295610,2956101,LOUD,1,Split,Group Stage,Opening (B),1,3,2,0,0,5,2,16,9,"[200, 10000, 10800, 21700, 14600, 6400, 12800, 4400, 7400, 800, 3600, 500, 100, 600, 11600, 15400, 18200, 28800, 14800, 11300, 5100, 11900, 15900, 11600]","[4300, 3100, 21100, 22400, 23200, 22000, 23500, 21100, 10500, 22400, 19900, 16100, 4300, 16100, 15600, 23800, 23500, 23800, 25800, 25600, 23000, 23300, 23600, 26300]"
295610,2956101,SEN,1,Split,Group Stage,Opening (B),1,4,1,1,0,7,5,12,5,"[100, 800, 9600, 3000, 3600, 12500, 4100, 10800, 13200, 25200, 12300, 14100, 100, 8500, 2700, 2000, 8800, 4500, 13000, 21500, 22500, 12000, 5000, 1900]","[4100, 15300, 3000, 20100, 19300, 20400, 18800, 19700, 22900, 23700, 22800, 23000, 4100, 4500, 20400, 16400, 9300, 19900, 19300, 22600, 23200, 23200, 20200, 20500]"
