Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,KAST,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Id,Unique Enum,Stage,Series,winner,rounds
Victor,Cypher,"1.26
1.49
1.05","218
268
173","18
11
7","

13
7
6

","7
3
4","+5
+4
+1","83%
82%
83%","139
162
119","38%
35%
44%","4
2
2","1
1
0","+3
+1
+2",NRG Esports,Breeze,1,295605,2956051,Group Stage,Opening (A),NRG Esports,"0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1"
Ethan,Kayo,"1.24
0.75
1.68","205
157
250","17
6
11","

13
8
5

","14
6
8","+4
-2
+6","83%
91%
75%","139
100
175","32%
23%
40%","0
0
0","2
1
1","-2
-1
-1",NRG Esports,Breeze,1,295605,2956051,Group Stage,Opening (A),NRG Esports,"0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1"
crashies,Sova,"1.12
1.09
1.15","200
263
144","16
10
6","

13
8
5

","7
3
4","+3
+2
+1","78%
73%
83%","136
181
95","35%
38%
31%","2
0
2","0
0
0","+2
0
+2",NRG Esports,Breeze,1,295605,2956051,Group Stage,Opening (A),NRG Esports,"0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1"
Demon1,Jett,"1.10
0.87
1.32","238
173
298","19
6
13","

17
9
8

","4
4
0","+2
-3
+5","70%
64%
75%","155
111
194","26%
11%
40%","8
4
4","3
2
1","+5
+2
+3",NRG Esports,Breeze,1,295605,2956051,Group Stage,Opening (A),NRG Esports,"0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1"
Marved,Viper,"0.90
0.57
1.20","187
127
243","16
5
11","

17
9
8

","6
1
5","-1
-4
+3","78%
64%
92%","141
107
172","33%
29%
36%","1
0
1","2
1
1","-1
-1
0",NRG Esports,Breeze,1,295605,2956051,Group Stage,Opening (A),NRG Esports,"0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1"
mwzera,Jett,"1.48
1.58
1.37","289
337
237","23
14
9","

15
8
7

","7
1
6","+8
+6
+2","78%
75%
82%","190
203
176","29%
38%
16%","4
3
1","4
1
3","0
+2
-2",FURIA,Breeze,1,295605,2956051,Group Stage,Opening (A),NRG Esports,"1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0"
liazzi,Viper,"1.08
0.72
1.47","242
191
299","19
7
12","

17
10
7

","7
6
1","+2
-3
+5","65%
67%
64%","141
112
173","33%
26%
37%","2
0
2","2
1
1","0
-1
+1",FURIA,Breeze,1,295605,2956051,Group Stage,Opening (A),NRG Esports,"1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0"
Khalil,Cypher,"0.86
0.64
1.11","193
152
239","15
7
8","

17
11
6

","5
1
4","-2
-4
+2","57%
42%
73%","136
103
171","39%
58%
31%","1
0
1","2
2
0","-1
-2
+1",FURIA,Breeze,1,295605,2956051,Group Stage,Opening (A),NRG Esports,"1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0"
kon4n,Sova,"0.85
0.78
0.93","174
130
224","14
4
10","

17
10
7

","6
4
2","-3
-6
+3","78%
58%
100%","106
87
127","17%
10%
24%","1
0
1","1
1
0","0
-1
+1",FURIA,Breeze,1,295605,2956051,Group Stage,Opening (A),NRG Esports,"1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0"
havoc,Kayo,"0.19
0.06
0.32","44
24
67","2
0
2","

20
11
9

","5
3
2","-18
-11
-7","39%
42%
36%","36
20
55","13%
0%
22%","0
0
0","6
4
2","-6
-4
-2",FURIA,Breeze,1,295605,2956051,Group Stage,Opening (A),NRG Esports,"1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0"
