Id,Stage,Series,Team Name,Bans,Picks,Decider
295605,Group Stage,Opening (A),FUR,"['Sunset', 'Lotus']",['Breeze'],['Split']
295605,Group Stage,Opening (A),NRG,"['Bind', 'Icebox']",['Ascent'],['Split']
295606,Group Stage,Opening (A),C9,"['Ascent', 'Breeze']",['Bind'],['Lotus']
295606,Group Stage,Opening (A),MIBR,"['Icebox', 'Sunset']",['Split'],['Lotus']
295610,Group Stage,Opening (B),SEN,"['Icebox', 'Lotus']",['Split'],['Sunset']
295610,Group Stage,Opening (B),LOUD,"['Breeze', 'Bind']",['Ascent'],['Sunset']
295611,Group Stage,Opening (B),100T,"['Breeze', 'Sunset']",['Bind'],['Icebox']
295611,Group Stage,Opening (B),LEV,"['Lotus', 'Ascent']",['Split'],['Icebox']
295615,Group Stage,Opening (C),G2,"['Lotus', 'Split']",['Icebox'],['Ascent']
295615,Group Stage,Opening (C),KRÜ,"['Bind', 'Breeze']",['Sunset'],['Ascent']
295608,Group Stage,Elimination (A),MIBR,"['Icebox', 'Bind']",['Split'],['Lotus']
295608,Group Stage,Elimination (A),FUR,"['Ascent', 'Sunset']",['Breeze'],['Lotus']
295613,Group Stage,Elimination (B),100T,"['Sunset', 'Breeze']",['Lotus'],['Split']
295613,Group Stage,Elimination (B),SEN,"['Icebox', 'Ascent']",['Bind'],['Split']
295607,Group Stage,Winner's (A),C9,"['Split', 'Breeze']",['Sunset'],['Lotus']
295607,Group Stage,Winner's (A),NRG,"['Bind', 'Icebox']",['Ascent'],['Lotus']
295612,Group Stage,Winner's (B),LEV,"['Sunset', 'Lotus']",['Bind'],['Ascent']
295612,Group Stage,Winner's (B),LOUD,"['Breeze', 'Icebox']",['Split'],['Ascent']
295617,Group Stage,Winner's (C),G2,"['Lotus', 'Breeze']",['Sunset'],['Split']
295617,Group Stage,Winner's (C),EG,"['Bind', 'Ascent']",['Icebox'],['Split']
295609,Group Stage,Decider (A),C9,"['Split', 'Breeze']",['Bind'],['Sunset']
295609,Group Stage,Decider (A),MIBR,"['Icebox', 'Lotus']",['Ascent'],['Sunset']
295614,Group Stage,Decider (B),SEN,"['Icebox', 'Ascent']",['Split'],['Bind']
295614,Group Stage,Decider (B),LEV,"['Sunset', 'Lotus']",['Breeze'],['Bind']
295619,Group Stage,Decider (C),KRÜ,"['Bind', 'Breeze']",['Split'],['Icebox']
295619,Group Stage,Decider (C),G2,"['Lotus', 'Ascent']",['Sunset'],['Icebox']
307572,Play-Ins,Play-ins,SEN,"['Breeze', 'Icebox']",['Split'],['Sunset']
307572,Play-Ins,Play-ins,MIBR,"['Bind', 'Lotus']",['Ascent'],['Sunset']
307573,Play-Ins,Play-ins,G2,"['Lotus', 'Bind']",['Sunset'],['Breeze']
307573,Play-Ins,Play-ins,MIBR,"['Icebox', 'Ascent']",['Split'],['Breeze']
307574,Play-Ins,Play-ins,SEN,"['Icebox', 'Ascent']",['Sunset'],['Split']
307574,Play-Ins,Play-ins,G2,"['Lotus', 'Bind']",['Breeze'],['Split']
303087,Playoffs,Semifinals,LOUD,"['Breeze', 'Lotus']",['Ascent'],['Sunset']
303087,Playoffs,Semifinals,EG,"['Bind', 'Split']",['Icebox'],['Sunset']
303088,Playoffs,Semifinals,SEN,"['Breeze', 'Icebox']",['Sunset'],['Split']
303088,Playoffs,Semifinals,NRG,"['Bind', 'Lotus']",['Ascent'],['Split']
303086,Playoffs,Grand Final,LOUD,['Breeze'],"['Sunset', 'Icebox']",['Lotus']
303086,Playoffs,Grand Final,SEN,['Ascent'],"['Split', 'Bind']",['Lotus']
