Id,Stage,Series,Team Name,Bans,Picks,Decider
297401,Group Stage,Opening (A),TH,"['Ascent', 'Split']",['Lotus'],['Icebox']
297401,Group Stage,Opening (A),FUT,"['Breeze', 'Sunset']",['Bind'],['Icebox']
297402,Group Stage,Opening (A),KC,"['Ascent', 'Breeze']",['Split'],['Lotus']
297402,Group Stage,Opening (A),GX,"['Bind', 'Icebox']",['Sunset'],['Lotus']
297406,Group Stage,Opening (B),NAVI,"['Split', 'Icebox']",['Bind'],['Breeze']
297406,Group Stage,Opening (B),BBL,"['Lotus', 'Sunset']",['Ascent'],['Breeze']
297407,Group Stage,Opening (B),TL,"['Sunset', 'Breeze']",['Icebox'],['Split']
297407,Group Stage,Opening (B),KOI,"['Lotus', 'Ascent']",['Bind'],['Split']
297412,Group Stage,Opening (C),VIT,"['Icebox', 'Split']",['Sunset'],['Ascent']
297412,Group Stage,Opening (C),M8,"['Bind', 'Breeze']",['Lotus'],['Ascent']
297403,Group Stage,Winner's (A),KC,"['Breeze', 'Icebox']",['Split'],['Sunset']
297403,Group Stage,Winner's (A),TH,"['Ascent', 'Bind']",['Lotus'],['Sunset']
297404,Group Stage,Elimination (A),GX,"['Bind', 'Lotus']",['Split'],['Sunset']
297404,Group Stage,Elimination (A),FUT,"['Breeze', 'Ascent']",['Icebox'],['Sunset']
297408,Group Stage,Winner's (B),TL,"['Sunset', 'Bind']",['Split'],['Ascent']
297408,Group Stage,Winner's (B),NAVI,"['Icebox', 'Lotus']",['Breeze'],['Ascent']
297409,Group Stage,Elimination (B),BBL,"['Sunset', 'Breeze']",['Bind'],['Icebox']
297409,Group Stage,Elimination (B),KOI,"['Lotus', 'Ascent']",['Split'],['Icebox']
297414,Group Stage,Winner's (C),FNC,"['Sunset', 'Split']",['Lotus'],['Bind']
297414,Group Stage,Winner's (C),VIT,"['Icebox', 'Breeze']",['Ascent'],['Bind']
297416,Group Stage,Decider (C),M8,"['Bind', 'Ascent']",['Breeze'],['Sunset']
297416,Group Stage,Decider (C),VIT,"['Icebox', 'Split']",['Lotus'],['Sunset']
297405,Group Stage,Decider (A),FUT,"['Breeze', 'Split']",['Lotus'],['Sunset']
297405,Group Stage,Decider (A),KC,"['Ascent', 'Icebox']",['Bind'],['Sunset']
297410,Group Stage,Decider (B),KOI,"['Lotus', 'Ascent']",['Sunset'],['Split']
297410,Group Stage,Decider (B),TL,"['Breeze', 'Bind']",['Icebox'],['Split']
307567,Play-In Stage,Play-ins,KC,"['Breeze', 'Bind']",['Sunset'],['Lotus']
307567,Play-In Stage,Play-ins,VIT,"['Icebox', 'Split']",['Ascent'],['Lotus']
307565,Play-In Stage,Play-ins,KOI,"['Lotus', 'Ascent']",['Sunset'],['Bind']
307565,Play-In Stage,Play-ins,VIT,"['Icebox', 'Split']",['Breeze'],['Bind']
307564,Play-In Stage,Play-ins,KC,"['Breeze', 'Ascent']",['Sunset'],['Icebox']
307564,Play-In Stage,Play-ins,KOI,"['Lotus', 'Split']",['Bind'],['Icebox']
303093,Playoffs,Semifinals,TH,"['Ascent', 'Bind']",['Sunset'],['Split']
303093,Playoffs,Semifinals,NAVI,"['Lotus', 'Icebox']",['Breeze'],['Split']
303094,Playoffs,Semifinals,FNC,"['Sunset', 'Icebox']",['Lotus'],['Bind']
303094,Playoffs,Semifinals,KC,"['Ascent', 'Breeze']",['Split'],['Bind']
303095,Playoffs,Grand Final,KC,['Breeze'],"['Sunset', 'Icebox']",['Bind']
303095,Playoffs,Grand Final,TH,['Ascent'],"['Lotus', 'Split']",['Bind']
