Team Name,Map #,Map Name,Stage,Series,Pistol_Won,Eco,Eco_Won,$,$_Won,$$,$$_Won,$$$,$$$_Won,Bank,Buys
T1,1,Breeze,Group Stage,Opening (A),0,4,0,2,0,5,3,23,15,"[400, 8600, 300, 6900, 2800, 9000, 3800, 1400, 6100, 10600, 14500, 14000, 100, 8400, 500, 6200, 7200, 1900, 4900, 7000, 4700, 8400, 15200, 15600, 1700, 900, 1200, 1100, 1400, 900, 900, 600, 1700, 900]","[3800, 2700, 21000, 22300, 16600, 9500, 23900, 19700, 20500, 24700, 25000, 25900, 3800, 2400, 20300, 19700, 9600, 19800, 20700, 17700, 21900, 22700, 23500, 25400, 23400, 23900, 24000, 23600, 23800, 23900, 24300, 24200, 23500, 23900]"
BLD,1,Breeze,Group Stage,Opening (A),2,2,2,0,0,9,4,23,10,"[300, 2800, 15400, 2200, 4300, 7000, 16100, 22900, 9100, 4200, 7900, 800, 300, 3400, 17500, 10100, 7800, 6500, 2800, 14900, 4600, 5200, 1100, 500, 1300, 1600, 1300, 1600, 1300, 1900, 1600, 1600, 1000, 1600]","[3800, 16500, 17900, 24200, 22700, 23600, 25400, 25500, 25200, 19200, 13500, 23100, 4000, 16400, 17000, 23100, 22900, 22900, 16500, 20600, 23400, 15200, 20500, 16300, 24000, 23700, 24000, 23700, 24000, 23400, 23700, 23700, 24300, 23700]"
T1,2,Lotus,Group Stage,Opening (A),2,2,2,1,0,5,4,11,7,"[300, 2600, 9000, 9700, 17800, 6800, 9300, 10300, 14000, 24800, 29400, 13300, 100, 300, 6400, 8900, 1000, 6100, 8900]","[3900, 17200, 19200, 24300, 25400, 24900, 26200, 23900, 26800, 26800, 27500, 26800, 3700, 16400, 18900, 8400, 21200, 10900, 24000]"
BLD,2,Lotus,Group Stage,Opening (A),0,3,0,1,0,7,1,8,5,"[300, 8700, 900, 7300, 1000, 10000, 1200, 6300, 3800, 7500, 3100, 3200, 200, 1200, 900, 6100, 7700, 7700, 1700]","[3800, 2300, 21200, 11600, 23300, 23500, 19200, 8300, 19400, 12100, 21700, 22900, 4000, 11000, 15900, 20000, 23800, 23100, 18300]"
GEN,1,Icebox,Group Stage,Opening (C),1,4,1,2,2,5,3,13,7,"[400, 8100, 500, 7000, 3700, 8300, 10100, 21300, 34600, 20300, 22200, 17600, 200, 2100, 9900, 2900, 3300, 9000, 2000, 7700, 8800, 15900, 28100, 14300]","[3700, 4100, 20500, 9900, 23300, 7300, 23600, 23700, 24200, 23200, 22800, 29100, 3700, 14700, 16800, 17800, 19700, 4700, 20300, 10100, 24300, 26000, 26100, 25100]"
RRQ,1,Icebox,Group Stage,Opening (C),1,3,1,1,0,5,4,15,6,"[200, 1800, 13000, 10900, 6000, 11700, 3200, 7700, 3000, 12100, 9900, 800, 500, 8500, 1000, 12000, 9000, 12700, 23200, 28400, 18500, 12200, 6300, 5700]","[3600, 15700, 14200, 22500, 16600, 22000, 19100, 9400, 20900, 21400, 21100, 22900, 3500, 3800, 22100, 20700, 16600, 22800, 23900, 23400, 21900, 20700, 23400, 23100]"
GEN,2,Split,Group Stage,Opening (C),1,3,1,1,0,8,4,12,6,"[100, 7500, 900, 7000, 2300, 7400, 5800, 3900, 7800, 8600, 4800, 600, 0, 2500, 11600, 16400, 26300, 30300, 31800, 27900, 13400, 17800, 21600, 5500]","[4300, 3000, 20700, 11500, 20500, 10400, 19600, 19200, 21700, 9600, 19500, 19700, 4100, 16300, 18300, 26100, 25600, 26200, 26300, 23700, 25200, 25800, 22700, 25800]"
RRQ,2,Split,Group Stage,Opening (C),1,3,1,1,0,9,4,11,8,"[0, 3900, 13700, 11100, 12100, 16100, 17000, 18600, 9200, 19200, 14800, 8700, 700, 9900, 3800, 1200, 7800, 5000, 1800, 6900, 14000, 6300, 2700, 3900]","[3700, 13600, 13200, 21300, 20700, 21200, 22000, 22500, 20000, 21200, 22600, 26800, 3600, 1900, 19500, 17700, 9600, 19500, 19000, 10900, 21300, 18700, 17300, 22500]"
GEN,3,Sunset,Group Stage,Opening (C),1,3,1,0,0,5,3,13,9,"[0, 7600, 1300, 9900, 7600, 13400, 3900, 6800, 6100, 9200, 7400, 400, 100, 6000, 7800, 6800, 7600, 900, 6200, 1000, 9500]","[4000, 3300, 19500, 20400, 21300, 23400, 20300, 22700, 23000, 24000, 22500, 18200, 4200, 14900, 20300, 22300, 11700, 21400, 11600, 20100, 21500]"
RRQ,3,Sunset,Group Stage,Opening (C),1,3,1,1,0,10,4,7,3,"[200, 3500, 10900, 2200, 7700, 5000, 8000, 8200, 3000, 1600, 1000, 4300, 100, 8300, 2800, 600, 4500, 9300, 19400, 27400, 13800]","[3800, 15500, 12500, 19500, 9000, 20300, 21500, 12100, 19700, 19100, 18200, 21600, 3800, 2400, 19400, 17900, 18400, 20900, 20600, 23800, 23300]"
