Player Name,Map Name,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,Team Name,Map #,Id,Unique Enum,Stage,Series
Rossy,Breeze,"[5, 20, 22, 25, 30]",,,,,,,,,35,3,2,T1,1,296735,2967351,Group Stage,Opening (A)
Sayaplayer,Breeze,"[3, 9, 10, 11, 20, 22, 23, 33]",[4],[31],,[20],,,,,61,0,2,T1,1,296735,2967351,Group Stage,Opening (A)
xccurate,Breeze,"[3, 8, 16, 21, 26, 30, 32]","[28, 34]",,,,,,,,50,2,0,T1,1,296735,2967351,Group Stage,Opening (A)
iZu,Breeze,"[10, 15, 21]",[11],,[12],[33],,,,,42,0,1,T1,1,296735,2967351,Group Stage,Opening (A)
Carpe,Breeze,"[9, 13, 17, 23, 32]",,[18],,,,,,,41,9,1,T1,1,296735,2967351,Group Stage,Opening (A)
yay,Breeze,"[6, 13, 19]","[14, 17, 25]",,,[13],,,,,41,0,2,BLD,1,296735,2967351,Group Stage,Opening (A)
crazyguy,Breeze,"[2, 8, 26]",[7],,,,,,,,31,1,1,BLD,1,296735,2967351,Group Stage,Opening (A)
Egoist,Breeze,"[10, 27]",,,,,,,,,25,7,1,BLD,1,296735,2967351,Group Stage,Opening (A)
sScary,Breeze,"[5, 6, 14, 16, 25, 27, 29, 32]",,,,,"[16, 25]",[32],,,46,1,2,BLD,1,296735,2967351,Group Stage,Opening (A)
Deryeon,Breeze,"[4, 5, 20, 21, 23, 31]",[2],,,[17],,,,,44,4,0,BLD,1,296735,2967351,Group Stage,Opening (A)
Rossy,Lotus,"[3, 6, 17]",[8],,,,,,,,73,2,0,T1,2,296735,2967352,Group Stage,Opening (A)
Sayaplayer,Lotus,[4],,,,,,,,,33,0,0,T1,2,296735,2967352,Group Stage,Opening (A)
xccurate,Lotus,"[2, 9, 10]",[13],,,,,,,,38,0,1,T1,2,296735,2967352,Group Stage,Opening (A)
iZu,Lotus,"[3, 6, 9, 10]",[18],,,,,,,,73,2,1,T1,2,296735,2967352,Group Stage,Opening (A)
Carpe,Lotus,"[7, 11, 17, 19]",[14],[1],,"[13, 19]",,,,,71,6,2,T1,2,296735,2967352,Group Stage,Opening (A)
yay,Lotus,"[5, 16]",,,,,,,,,51,4,0,BLD,2,296735,2967352,Group Stage,Opening (A)
crazyguy,Lotus,"[10, 11]","[5, 16]",,,,,,,,63,1,1,BLD,2,296735,2967352,Group Stage,Opening (A)
Egoist,Lotus,"[7, 12, 13, 17, 19]",,,,[17],,,,,58,2,0,BLD,2,296735,2967352,Group Stage,Opening (A)
sScary,Lotus,"[11, 12, 15]",[3],,,,[11],,,,47,0,1,BLD,2,296735,2967352,Group Stage,Opening (A)
Deryeon,Lotus,,,,,,,,,,37,0,0,BLD,2,296735,2967352,Group Stage,Opening (A)
Lakia,Icebox,,,,,,,,,,28,6,2,GEN,1,296745,2967451,Group Stage,Opening (C)
Munchkin,Icebox,,[20],,,,,,,,51,0,2,GEN,1,296745,2967451,Group Stage,Opening (C)
