Id,Stage,Series,Team Name,Bans,Picks,Decider
296735,Group Stage,Opening (A),BLD,"['Ascent', 'Sunset']",['Breeze'],['Split']
296735,Group Stage,Opening (A),T1,"['Icebox', 'Bind']",['Lotus'],['Split']
296745,Group Stage,Opening (C),RRQ,"['Ascent', 'Lotus']",['Icebox'],['Sunset']
296745,Group Stage,Opening (C),GEN,"['Bind', 'Breeze']",['Split'],['Sunset']
296730,Group Stage,Opening (A),GE,"['Lotus', 'Ascent']",['Bind'],['Sunset']
296730,Group Stage,Opening (A),ZETA,"['Breeze', 'Split']",['Icebox'],['Sunset']
296731,Group Stage,Opening (B),TLN,"['Icebox', 'Bind']",['Breeze'],['Sunset']
296731,Group Stage,Opening (B),TS,"['Split', 'Lotus']",['Ascent'],['Sunset']
296736,Group Stage,Opening (B),DFM,"['Icebox', 'Split']",['Lotus'],['Bind']
296736,Group Stage,Opening (B),DRX,"['Sunset', 'Ascent']",['Breeze'],['Bind']
296747,Group Stage,Winner's (C),GEN,"['Split', 'Bind']",['Breeze'],['Sunset']
296747,Group Stage,Winner's (C),PRX,"['Icebox', 'Ascent']",['Lotus'],['Sunset']
296738,Group Stage,Elimination (A),GE,"['Lotus', 'Breeze']",['Sunset'],['Split']
296738,Group Stage,Elimination (A),BLD,"['Ascent', 'Bind']",['Icebox'],['Split']
296737,Group Stage,Winner's (A),ZETA,"['Breeze', 'Split']",['Ascent'],['Sunset']
296737,Group Stage,Winner's (A),T1,"['Icebox', 'Bind']",['Lotus'],['Sunset']
296733,Group Stage,Elimination (B),DFM,"['Icebox', 'Sunset']",['Lotus'],['Ascent']
296733,Group Stage,Elimination (B),TS,"['Split', 'Bind']",['Breeze'],['Ascent']
296732,Group Stage,Winner's (B),DRX,"['Lotus', 'Sunset']",['Split'],['Breeze']
296732,Group Stage,Winner's (B),TLN,"['Bind', 'Icebox']",['Ascent'],['Breeze']
296749,Group Stage,Decider (C),RRQ,"['Ascent', 'Sunset']",['Lotus'],['Icebox']
296749,Group Stage,Decider (C),GEN,"['Bind', 'Split']",['Breeze'],['Icebox']
296734,Group Stage,Decider (B),TS,"['Split', 'Bind']",['Breeze'],['Lotus']
296734,Group Stage,Decider (B),TLN,"['Icebox', 'Sunset']",['Ascent'],['Lotus']
296739,Group Stage,Decider (A),GE,"['Icebox', 'Ascent']",['Bind'],['Sunset']
296739,Group Stage,Decider (A),ZETA,"['Breeze', 'Split']",['Lotus'],['Sunset']
297254,Play-Ins,Play-ins,TS,"['Split', 'Bind']",['Breeze'],['Icebox']
297254,Play-Ins,Play-ins,GEN,"['Ascent', 'Sunset']",['Lotus'],['Icebox']
297253,Play-Ins,Play-ins,TS,"['Split', 'Bind']",['Icebox'],['Lotus']
297253,Play-Ins,Play-ins,ZETA,"['Breeze', 'Sunset']",['Ascent'],['Lotus']
297255,Play-Ins,Play-ins,GEN,"['Bind', 'Sunset']",['Icebox'],['Lotus']
297255,Play-Ins,Play-ins,ZETA,"['Breeze', 'Split']",['Ascent'],['Lotus']
297256,Playoffs,Semifinals,PRX,"['Breeze', 'Bind']",['Split'],['Sunset']
297256,Playoffs,Semifinals,T1,"['Icebox', 'Lotus']",['Ascent'],['Sunset']
297257,Playoffs,Semifinals,DRX,"['Icebox', 'Split']",['Bind'],['Ascent']
297257,Playoffs,Semifinals,GEN,"['Breeze', 'Sunset']",['Lotus'],['Ascent']
297258,Playoffs,Grand Final,GEN,['Sunset'],"['Ascent', 'Lotus']",['Breeze']
297258,Playoffs,Grand Final,PRX,['Icebox'],"['Split', 'Bind']",['Breeze']
